Mean,Std,RMS,Max,Min,Skew,Kurtosis,P2P,CrestFactor,ShapeFactor,Label
0.011622154307692308,0.0731644452161996,0.07408178260912789,0.24741784615384615,-0.27286892307692306,-0.08584997891057213,-0.1304006139298357,0.5202867692307692,3.6833471531947435,1.2478411903106077,Normal
0.011941214153846151,0.07235830216147339,0.07333700625986242,0.2482523076923077,-0.23823876923076923,-0.07295458213200057,-0.26899751186204846,0.4864910769230769,3.3850891978416766,1.2382850524258413,Normal
0.010432977076923079,0.07244604090068475,0.07319341399928883,0.23156307692307693,-0.28663753846153844,-0.10470668506803697,-0.2704051256693858,0.5182006153846154,3.916165714914234,1.2327777839429113,Normal
0.013107652307692305,0.07214179492557456,0.0733229099538678,0.25367630769230765,-0.24011630769230768,-0.008049865653415728,-0.1703184214516278,0.49379261538461533,3.459714130984598,1.2457238255045182,Normal
0.013090545846153847,0.07198991272795546,0.07317041700802926,0.31125415384615385,-0.22342707692307692,0.03758335541427453,-0.12351659374270652,0.5346812307692308,4.253825064465586,1.2449863230736822,Normal
0.012202644000000002,0.07152149082078334,0.07255500099798862,0.2369870769230769,-0.26452430769230767,-0.012191538825385087,-0.17402124840625577,0.5015113846153846,3.6458452767389646,1.248463995427195,Normal
0.012171525538461538,0.07046874762681311,0.07151216977567454,0.24595753846153845,-0.24616615384615384,-0.043239700322298104,-0.23504244920089779,0.49212369230769226,3.4422973686625475,1.240228214016231,Normal
0.01308653,0.07303995291309168,0.07420304568538645,0.2628553846153846,-0.22572184615384616,-0.01991991985362332,-0.35918701520784735,0.48857723076923076,3.5423799951536403,1.2336307605637675,Normal
0.01311378907692308,0.07004438875929701,0.07126140512660104,0.2641070769230769,-0.21633415384615384,-0.026694782789984033,-0.31548709763591365,0.48044123076923073,3.706172737597183,1.2338454830485384,Normal
0.011767663538461539,0.07152496168258642,0.07248653701791728,0.24866953846153847,-0.23531815384615382,-0.02254114269625372,-0.17460032463654285,0.4839876923076923,3.430561711067424,1.24089570246021,Normal
0.01385734646153846,0.07198153518465254,0.07330325680687376,0.24595753846153845,-0.22843384615384613,-0.03402166224956262,-0.286168868317207,0.47439138461538455,3.355342575153832,1.2364710059787354,Normal
0.013555723384615383,0.07379730291479568,0.07503199020403443,0.2561796923076923,-0.2507556923076923,-0.05810474290583566,-0.40205358348030185,0.5069353846153846,3.414272920271247,1.2266854240748857,Normal
0.013669210153846154,0.07478847769864999,0.07602738784616685,0.26535876923076923,-0.23531815384615382,-0.06248209980287451,-0.30800279949263887,0.500676923076923,3.4903049644122173,1.2324622781062955,Normal
0.011929844615384615,0.07399972887500882,0.07495519372346413,0.25847446153846154,-0.23072861538461537,-0.044474295589069415,-0.1405858943147722,0.4892030769230769,3.448386278502115,1.2480929247358492,Normal
0.01260389830769231,0.07327873422617873,0.07435476543128615,0.2436627692307692,-0.25951753846153847,-0.04969096028933621,-0.18698695365659557,0.5031803076923077,3.4902610068936033,1.24094766841862,Normal
0.009594482307692307,0.07373882558179179,0.07436039597080243,0.25847446153846154,-0.27328615384615385,-0.0955411864201821,-0.17907530556757445,0.5317606153846154,3.6751573237111255,1.2430006686184056,Normal
0.013095761230769233,0.07435355187713007,0.07549801082782505,0.25972615384615383,-0.23093723076923076,-0.03304348301649004,-0.32297276668382224,0.4906633846153846,3.4401721449120735,1.2318087869854162,Normal
0.014185533230769229,0.07416682772990062,0.07551124213359234,0.24866953846153847,-0.2221753846153846,0.019715272167420885,-0.276449780891709,0.47084492307692305,3.2931459135793237,1.2396958633252133,Normal
0.013653616153846153,0.07247051661055699,0.07374548807810269,0.2605606153846154,-0.23135446153846154,0.01357276886611729,-0.18070760440203593,0.4919150769230769,3.5332414521232773,1.2481524423693509,Normal
0.012947209692307692,0.07172034639547445,0.07287961529744398,0.2438713846153846,-0.24303692307692307,-0.00012702239841008858,-0.2006018883516818,0.48690830769230764,3.346222172277817,1.2445468966774424,Normal
